56.02, 310.80
56.07, 200.80
35.71, 154.71
35.73, 128.33
35.74, 138.04
31.00, 119.54
31.10, 137.82
35.78, 155.55
35.79, 146.42
31.20, 122.43
31.30, 134.78
31.40, 109.50
31.50, 111.61
31.60, 148.45
31.70, 137.66
31.80, 108.29
31.90, 128.04
25.11, 92.40
25.12, 77.28
8.41, 39.25
25.13, 82.14
8.42, 38.73
25.14, 79.21
8.43, 38.59
25.15, 81.70
8.44, 39.93
25.16, 88.54
8.45, 39.22
25.17, 88.15
8.46, 38.56
66.79, 223.54
25.18, 79.58
8.47, 38.78
25.19, 94.98
8.48, 38.66
8.49, 39.19
161.50, 450.30
56.12, 200.80
56.13, 333.42
56.15, 156.92
35.81, 145.10
35.82, 143.04
35.83, 176.35
35.84, 202.26
35.85, 147.75
35.86, 102.92
35.87, 172.14
35.88, 134.34
306.90, 436.42
25.21, 75.82
25.22, 87.26
8.51, 38.44
25.23, 94.82
8.52, 39.26
60.04, 216.50
25.24, 101.84
8.53, 39.49
25.25, 88.68
8.54, 39.29
25.26, 80.42
8.55, 38.88
25.27, 95.39
8.56, 38.82
25.28, 92.08
8.57, 39.49
25.29, 89.12
8.58, 39.14
8.59, 39.07
56.23, 270.80
35.91, 135.06
35.92, 245.80
35.93, 222.42
35.94, 134.84
35.96, 160.19
49.00, 139.30
35.97, 136.92
35.98, 113.34
49.10, 172.73
49.20, 202.24
49.30, 208.78
49.40, 223.54
49.50, 227.54
49.60, 232.80
49.70, 189.50
49.80, 247.17
49.90, 93.36
87.26, 502.30
25.31, 87.81
25.32, 87.42
8.61, 39.62
8.62, 39.40
25.33, 77.34
25.34, 76.41
8.63, 38.58
8.64, 39.15
25.35, 77.69
8.65, 39.43
25.36, 80.07
8.66, 40.61
25.37, 90.55
25.38, 84.17
8.67, 40.09
8.68, 40.44
25.39, 92.55
8.69, 39.73
56.31, 155.92
88.40, 880.65
88.50, 804.56
88.70, 255.30
87.38, 438.30
25.41, 88.51
8.71, 38.75
25.42, 88.79
8.72, 39.19
25.43, 89.96
25.44, 88.03
8.73, 39.53
25.45, 109.48
8.74, 39.48
8.75, 40.13
25.46, 91.88
8.76, 40.16
25.47, 81.10
25.48, 84.75
8.77, 40.73
25.49, 88.34
8.78, 40.23
8.79, 40.15
56.41, 279.92
56.44, 150.80
91.27, 261.80
56.47, 117.30
56.48, 300.80
25.51, 81.52
60.31, 55.30
25.52, 87.58
36.00, 169.71
8.81, 40.24
25.53, 81.42
36.10, 145.25
8.82, 40.53
2.01, 15.77
25.54, 78.70
36.20, 159.77
8.83, 39.94
2.02, 15.88
36.30, 133.64
25.55, 105.48
8.84, 40.23
2.03, 15.86
25.56, 105.19
36.40, 145.13
8.85, 40.28
2.04, 15.84
25.57, 99.52
36.50, 153.64
8.86, 40.26
2.05, 15.96
25.58, 75.69
36.60, 156.22
8.87, 40.39
2.06, 15.97
25.59, 90.26
36.70, 135.99
8.88, 40.05
2.07, 16.00
36.80, 144.33
8.89, 40.33
2.08, 16.07
36.90, 148.94
2.09, 16.08
70.91, 196.30
56.51, 254.30
15.01, 57.17
15.02, 58.73
15.03, 57.84
15.04, 58.60
15.05, 57.30
